block_name,area_name,activity,method,pesticide,lead_agency,start_date,finish_date,lat,lon,region
 GBI Rabbit Control Whangapoua Spit , GBI Rabbit Control Whangapoua Spit ,,Fumigation,Magnesium Phosphide,DOC,1651449600000,1809043200000,-36.127740669637134,175.42049329197232,Unknown
 Te Wera CA Trust Fipronil (Vespex) Bait Stations #112,Te Wera Conservation Area Wasp Control,,Bait stations,Fipronil,Trust,1615248000000,1685491200000,-39.23040044735445,174.59672720670977,Unknown
# 140 Pukaha Mt Bruce Aerial 2024 Pestex,Pukaha - Mount Bruce 2024,,Aerial,Sodium fluoroacetate,Trust,1728000000000,1753920000000,-40.74693179105206,175.63559866828777,Wellington
#1 Pukaha Mount Bruce - Aerial 1080 - 2024,Pukaha - Mount Bruce 2024,,Aerial,Sodium fluoroacetate,Trust,1728000000000,1740787200000,-40.74823065423358,175.63569946229725,Wellington
#149,Pukaha - Mount Bruce 2024,,Bait stations,Sodium fluoroacetate,Trust,1728000000000,1753920000000,-40.74693179105206,175.63559866828777,Wellington
#19 Pukaha Mt Bruce Feratox BB,Pukaha - Mount Bruce 2024,,Bait bags,Cyanide,Trust,1728000000000,1753920000000,-40.74693179105206,175.63559866828777,Wellington
#2 Pukaha Mt Bruce Aerial 2024,Pukaha - Mount Bruce 2024,,Handlaying,Sodium fluoroacetate,Trust,1728000000000,1753920000000,-40.74693179105206,175.63559866828777,Wellington
#3 Pukaha Mt Bruce 2024 BS,Pukaha - Mount Bruce 2024,,Bait stations,Sodium fluoroacetate,Trust,1728000000000,1753920000000,-40.74693179105206,175.63559866828777,Wellington
1080 to Zero Deer Repellent,Pukunui Predator Control,,Aerial,Sodium fluoroacetate,DOC,1751760000000,1751932800000,-46.98074198807027,167.89153560442352,Southland
15th Oct Brodi paste,Whataroa-Perth - Brodifacoum Paste LoLa ,,Bait stations,Brodifacoum,Shared (detail in comments),1761091200000,1767139200000,-43.287710293533785,170.368803179997,West Coast
17th Oct Brodi paste,Whataroa-Perth - Brodifacoum Paste LoLa ,,Bait stations,Brodifacoum,Shared (detail in comments),1761264000000,1767139200000,-43.33009803096153,170.45229755391165,West Coast
2023-24 1080 Cereal pellets in BS,Waipunga and Tutaekuri Waitara Valley TMA Ground 2023-24,,Bait stations,Sodium fluoroacetate,TB Free,1698192000000,1726358400000,-39.05962669167987,176.7431531386277,East Coast
2023-24 1080 handlaying,Waipunga and Tutaekuri Waitara Valley TMA Ground 2023-24,,Handlaying,Sodium fluoroacetate,TB Free,1698019200000,1726358400000,-39.05962669167987,176.7431531386277,East Coast
2023-24 Cyanara 50 paste Handlaying,Waipunga and Tutaekuri Waitara Valley TMA Ground 2023-24,,Handlaying,Cyanide,TB Free,1698192000000,1726358400000,-39.05962669167987,176.7431531386277,East Coast
2023-24 Feratox BB,Waipunga and Tutaekuri Waitara Valley TMA Ground 2023-24,,Bait bags,Cyanide,TB Free,1698192000000,1726358400000,-39.05962669167987,176.7431531386277,East Coast
2023-24 Feratox with cereal pellet prefeed in BS,Waipunga and Tutaekuri Waitara Valley TMA Ground 2023-24,,Bait stations,Cyanide,TB Free,1698192000000,1726358400000,-39.05962669167987,176.7431531386277,East Coast
2023-24 Pestoff Rat Bait 50D Cereal pellets in BS,Waipunga and Tutaekuri Waitara Valley TMA Ground 2023-24,,Bait stations,Diphacinone,TB Free,1698192000000,1726358400000,-39.05962669167987,176.7431531386277,East Coast
2023-24 Pindone Cereal in BS,Waipunga and Tutaekuri Waitara Valley TMA Ground 2023-24,,Bait stations,Pindone,TB Free,1698192000000,1726358400000,-39.05962669167987,176.7431531386277,East Coast
2023-26 Cholecalciferol BS,Boundary Stream Seabird Site 2023-2026,,Bait stations,Cholecalciferol,DOC,1690416000000,1781568000000,-39.10038417190837,176.7918392316498,East Coast
2024-25 Cyanide pellet in BB,Mohaka Buffer Ground OSPRI 2024-25,,Bait bags,Cyanide,TB Free,1727913600000,1751241600000,-39.188203838407276,176.63068953117195,East Coast
