date,party,title,url,text,words
2026-03-18,National,"Rock NZ: Robbie Williams goes global for Kiwis18 March, 2026Louise Upston",https://www.national.org.nz/news/20260318-hon-louise-upston-rock-nz-robbie-williams-goes-global-for-kiwis,"Global pop superstar Robbie Williams is bringing his BRITPOP world tour to New Zealand this November, thanks to support from the Government’s $70 million Major Events and Tourism Package. Tonight Williams has confirmed two New Zealand shows, opening at Eden Park, Auckland on 24 November before becoming one of the first international artists to play the new Christchurch One New Zealand Stadium on 28 November. “It’s fantastic to welcome a showstopper act like Robbie, giving fans the chance to see him entertaining us,” Tourism and Hospitality Minister Louise Upston says. “We know concerts like his bring a significant economic injection into our cities and create a real buzz.   It’s been calculated that for every dollar spent on live performance, $3.20 is returned in benefits to the wider community and that’s why we’re investing in them. “Robbie Williams is a master entertainer who can sell out stadiums like Eden Park and One New Zealand.  This event has been considered for its capacity to attract large audiences and international visitors. “Events attraction is about energising the events sector and allowing New Zealand to compete on a global level to host big acts. If there’s one thing we don’t like doing – it’s losing to Australia. Without Government investment, New Zealand would not have been part of the global tour. “As well as entertainment, the economic benefits of concerts are huge – and that’s why our Government is supporting them.  Hotels fill up, restaurants and cafes thrive, tills ring, and local businesses see a surge in customers. “We can already feel that it’s going to be a massive year in 2026, with stars like Robbie Williams and our Major Events and Tourism package boosting a strong tourism and hospitality sector. “We’ve previously announced: Linkin Park - Auckland Ultra Music Festival – Wellington FIFA World Series – Auckland WSL Championship Tour – Raglan “It's great to see artists like Robbie Williams bringing their tours to multiple cities and we expect to keep seeing more of that in future with New Zealand being a world-class destination for culture, sport and entertainment,” Louise Upston says.",349
2026-03-18,National,"“Charlotte’s Change” to provide redress for more survivors of abuse in mental health care18 March, 2026Erica Stanford",https://www.national.org.nz/news/20260318-hon-erica-stanford-charlottes-change,"The Government is taking action to provide redress for more survivors of abuse in care, to include survivors of State-run mental health facilities from 1 July 1993 to 30 June 2022. “The Government is continuing to address the wrongs of the past, and while this can never repair the harm suffered, we are focused on making the care system safe, and providing redress to New Zealanders who have suffered abuse in care,” Lead Coordination Minister Erica Stanford says. “As part of the Government’s response to the Royal Commission, last year I commissioned work on gaps in the provision of redress for abuse in state mental health inpatient settings. “Currently, the state redress system covers claims for abuse in mental health inpatient settings up to 30 June 1993. After that point, responsibility for these claims sat with many different organisations. These responsibilities were transferred to Health NZ after it was created as a Crown entity on 1 July 2022, but Health New Zealand does not have a formal, consistent redress process in place to manage or respond to historic claims. “At an event late last year, I was approached by a woman named Charlotte who bravely shared with me her experience of abuse in a mental health setting in the 2000s and her fight for recognition and redress. Her attempts had hit bureaucratic dead ends with various agencies and authorities denying responsibility or declining to investigate. “Charlotte’s bravery drew attention to this group of survivors who cannot access redress and confirmed this was a priority for us to fix. Survivors of abuse are not responsible for, nor should they carry the burden of, health system restructures or structural reforms or the way that government organises itself. A person who was abused in mental health inpatient care should have the same ability to access redress if it happened in 1988 or 2018. “Charlotte and other survivors have described the significant difficulties and distress they faced when trying to obtain acknowledgement, an apology or accountability for the abuse they experienced in mental health facilities. They have then endured further harm and retraumatisation due to ongoing lack of recognition of their abuse and the absence of accessible pathways to redress and support.” Cabinet has now agreed to amend the Redress System for Abuse in Care Bill (the Bill) that is currently before Parliament to extend the state redress scheme for abuse in mental health inpatient settings from 1 July 1993 to 30 June 2022, before Health New Zealand was established. Health New Zealand will remain responsible for responding to claims from 1 July 2022. This mirrors other redress settings where the Ministry of Social Development is responsible for claims relating to abuse or the care, custody or guardianship of Child, Youth and Family and its predecessors while Oranga Tamariki is responsible for claims since it was established. “While we can never undo the harm that survivors experienced, we are committed to ",487
2026-03-18,National,"Immigration (Enhanced Risk Management) Amendment Bill to hold people to account for serious offending18 March, 2026Erica Stanford",https://www.national.org.nz/news/20260318-hon-erica-stanford-immigration-bill-to-hold-people-accountable-for-serious-offending,"The Government will introduce the Immigration (Enhanced Risk Management) Amendment Bill to Parliament this afternoon, a package of practical and targeted changes to strengthen New Zealand’s immigration system and ensure it remains fit for today’s challenges. “Immigration is important for New Zealand, and we are committed to ensuring we continue to attract the skilled people we need, while making it easier to address migrant exploitation, serious criminals, and immigration breaches”, Immigration Minister Erica Stanford says. “The new Bill introduces several changes to ensure we have the right, proportionate tools to manage immigration risks. “It focuses on striking the right balance between managing risk and maintaining strong safeguards for all people in New Zealand, ensuring our immigration system is fair, functional, and effective.” Many of these proposed changes were announced last year after policy decisions were taken. This includes strengthening the ability to deport people who have committed serious crimes by extending the period of residence during which a person can be subject to liability for deportation from ten to twenty years. Alongside the Bill, a Parliamentary paper will be tabled with proposals for a further suite of changes. These will be aimed at protecting and strengthening the system around asylum claims so that New Zealanders can continue to have trust and confidence in the integrity of the immigration system. The Parliamentary paper includes: Amending our interpretation of Article 1F(b) of the Refugee Convention which excludes people who commit serious crimes before admission to the country of refuge from refugee status, to extend that exclusion where they have committed a serious crime after arriving in New Zealand but before refugee status determination. Better managing asylum claimants who act in bad faith; and Better managing claimants who fail to attend biometric appointments “Currently, if a person who has claimed refugee status has been convicted of a serious crime in New Zealand before status determination, Immigration New Zealand is unable to take that into account when making a decision,” Ms Stanford says. “There are currently 14 refugee known claims from people who have been convicted of serious offences in New Zealand, including murder, serious sexual and drug offences, and arson. This change will mean that Immigration New Zealand can take convictions for crimes committed in New Zealand into account when making a decision on their refugee claim.” The proposed amendment will ensure that people who commit crimes either offshore or in New Zealand before their refugee claim is determined are treated the same, sending a signal that this behaviour is not tolerated and maintaining public confidence in our refugee and protection system. Two of the other proposals relate to better managing instances of bad faith such as where people take actions to deliberately engage in provocative political activity after arriving in Ne",459
2026-03-17,National,"Supply chain challenges raised at international ministerial meeting17 March, 2026Todd McClay",https://www.national.org.nz/news/20260317-hon-todd-mcclay-supply-chain-challenges-raised-at-international-ministerail-meeting,"Trade and Investment Minister Todd McClay raised the impact of the Middle East conflict on supply chains with fellow members of the Future of Investment and Trade (FIT) Partnership last night. “This meeting was an opportunity for New Zealand to discuss the risks of global supply disruption and raise issues like fuel supply chain challenges, with other small and medium trade-dependent countries,” Mr McClay says. “Measures like export restrictions and stockpiling on a large-scale basis can unnecessarily worsen the economic impacts. “It is in our mutual interest to ensure that trade lines remain open, including via air and sea freight, to facilitate the flow of fuel and other essential goods. “We see an opportunity for FIT partners to signal a joint commitment to maintaining open and resilient supply chains, working together to share real-time information and co-ordinating joint responses when supply chains are disrupted.” The Partnership is a grouping of 16 small and mid-sized trade dependent countries. It issued a declaration on supply chain resilience in November 2025. New Zealand hosts the next FIT Partnership Ministerial Meeting in Auckland in July 2026.",182
2026-03-17,National,"Moving health decisions closer to home17 March, 2026Simeon Brown",https://www.national.org.nz/news/20260317-hon-simeon-brown-moving-healt-decisions-closer-to-home,"From 1 July, decision-making within Health New Zealand will shift closer to patients, communities, and hospitals, ensuring decisions are made in the right place at the right time so Kiwis get better access to care, Health Minister Simeon Brown says. Local authority: Health New Zealand regions and districts will receive delegated decision making over workforce decisions, budgets, and service delivery. National focus: Health New Zealand will retain responsibility for strategy, standards, and system-wide planning. Easier hiring: Hospitals will be able to recruit and deploy staff without central sign-off, reducing response times when demand rises. “The message from frontline doctors and nurses has been clear: healthcare works best when decisions are made by those who understand their communities and work directly with patients. “The previous Government’s decision to restructure the health system in the middle of a pandemic shifted decision-making away from the frontline – away from the doctors and nurses delivering care, and away from the patients they serve. Wait times ballooned and service delivery declined. “The result was a system that became too centralised, with too many decisions made by head office that should have been made much closer to the bedside. These changes, which ensure a nationally planned, locally and regionally delivered health system, will come into effect on 1 July. “Regions and districts will have clearer authority over workforce, resources, and service delivery, while national leadership focuses on strategy, standards, and system planning. “This is the most significant structural change our Government is making to improve how the health system operates. It is not a return to the District Health Board model, but it will reduce bureaucracy and give hospitals greater authority to make decisions that ensure delivery of the health targets within their budgets, in a way that reflects the needs of their communities. Mr Brown says the changes are designed to ensure healthcare services delivered in communities directly improve the lives of patients. “Health New Zealand’s regions and districts will be responsible for delivering the health targets in their areas, with delegated budgets, the ability to deploy staff where they are needed, and the flexibility to respond faster when demand rises – helping reduce wait times and improve access to care for New Zealanders. “Putting patients at the centre of the system means decisions about services and resources are made as close as possible to those receiving care. These changes will deliver a health system that is more responsive, efficient, and focused on getting patients the care they need. “Our Government is focused on fixing the basics of our healthcare system while building for the future. These changes support that priority and will ensure a healthcare system focused on putting patients first in every decision.”",450
2026-03-17,National,"More staff, extra beds as hospitals prepare for winter17 March, 2026Simeon Brown",https://www.national.org.nz/news/20260317-hon-simeon-brown-more-staff-extra-beds-as-hospitals-prepare-for-winter,"Health New Zealand will invest an additional $25 million to boost hospital capacity, increase staffing, and prepare the health system for higher demand over the busy winter months, Health Minister Simeon Brown says. The investment will deliver: Up to an additional 378 full-time equivalent staff across the country to support meeting winter demands in our hospitals. 71 extra winter hospital beds across key hospitals. Up to 567 short stay beds through aged residential care facilities to help free up hospital capacity and reduce bed block. Expansion of Hospital in the Home services to support earlier discharge from hospital. “Emergency department presentations continue to rise alongside population growth and an ageing population, placing hospitals under increasing pressure during the winter months, and creating sustained demand across emergency departments and other health services nationwide,” Mr Brown says. “Despite these challenges, Health New Zealand has seen emergency department performance improve since the reintroduction of the Government’s health targets, with more patients now being seen sooner, reversing several years of declining performance.” “While hospitals undertake seasonal planning each year as part of normal operations, winter demand still places significant pressure on services and frontline staff. That’s why strengthening capacity early, ahead of the winter months, is critical to ensuring patients receive timely care. “In my Letter of Expectation to the Health New Zealand Board last November, I made it clear that I expected a plan to prepare our hospitals for winter to be in place early. This gives New Zealanders confidence that the system is getting ready to support them heading into winter.” The Board endorsed the plan on 3 March, with implementation now underway nationwide. It provides a coordinated national approach to manage increased winter demand and support frontline teams. The plan focuses on four key priorities: Prevention: More vaccination opportunities, clearer winter wellness information, targeted support for older people and those at higher risk, earlier access to antivirals, stronger vaccination support in aged care, and easier access to multiple vaccinations in a single visit. Strengthening primary care: Expanded telehealth services, expansion of urgent and after hours care clinic hours, and working with pharmacies to treat more minor conditions. Improving flow through emergency departments and hospitals: Additional staff and beds to manage higher demand, seasonal winter wards at Middlemore, Waikato, Wellington and Christchurch hospitals, faster diagnostic testing and imaging, and systems to help clinicians respond more quickly to critical results. Supporting timely discharge from hospital: Expanded hospital‑in‑the‑home services, additional transitional and aged residential care beds, increased allied health support for patients returning home, and improved weekend discharge processes. Mr Brown says every winter br",431
2026-03-17,National,"Inquiry into the Fatal Landslides in Tauranga17 March, 2026Chris Penk",https://www.national.org.nz/news/20260317-hon-chris-penk-inquiry-into-fatal-landslides-in-tauranga,"Cabinet has agreed the Terms of Reference and membership for a Government Inquiry into the Fatal Landslides in Tauranga, Emergency Management and Recovery Associate Minister Chris Penk has announced. “Eight people died in the devastating events of 22 January 2026 – two when a landslide struck a property in Pāpāmoa’s Welcome Bay Road and six several hours later when a section of Mauao collapsed on to the Mount Maunganui Beachside Holiday Park,” Mr Penk says. “These events have caused profound grief. For the families and loved ones of those who died, the loss has been devastating. That pain has been shared by the wider Tauranga community and by people throughout New Zealand. “The Government recognises the significant public concern regarding these tragic events and acknowledges the importance for both the families and the wider community of determining exactly what happened. “The Inquiry will establish how the fatal landslides occurred, report on whether relevant agencies took appropriate steps to manage any apparent risk in the period immediately prior to the two fatal landslides – including steps to warn and evacuate people likely to be affected by the landslides – and identify any lessons that can be applied to reduce the risk of similar tragedies in future.” The Inquiry will be led by the Honourable Sir Mark O’Regan, a retired Supreme Court Judge and a former President of the Court of Appeal. He will be supported by Dr Helen Anderson and Steve Symon. Dr Anderson was the Chief Executive of the Ministry of Research, Science and Technology for six years (2004-2010), prior to which she was the Chief Science Adviser. She has chaired and contributed to many reviews of technical issues such as the failure of Statistics House in the 2016 Kaikoura earthquake and the Christchurch CBD collapse in 2011. Steve Symon brings additional legal expertise to the Inquiry. He was recently the Chair of the Ministerial Advisory Group on Transnational, Serious, Organised Crime. His experience includes serving as a lead lawyer for WorkSafe New Zealand during the legal proceedings following the 2019 Whakaari/White Island volcanic eruption. “Those responsible for the Inquiry will be required to communicate with the families of the victims about its progress. It is my expectation that this engagement will be conducted with respect and sensitivity, and that the work will proceed as efficiently as possible,” Mr Penk says. The Inquiry will begin considering evidence and information on 30 March and be required to deliver a final report with recommendations by 3 December 2026.",416
2026-03-13,National,"Friday Top 513 March, 2026Chris Bishop",https://www.national.org.nz/news/20260313-hon-chris-bishop-friday-top-5,"Sign up here to receive Chris Bishop's Friday Top 5 SUBSCRIBE By clicking subscribe you agree to receive emails from the National Party. Here’s what you may have missed this week. Please share it around. Half of Labour’s $60b COVID spend not spent on pandemic The Royal Commission of Inquiry into COVID has confirmed that Labour’s COVID restrictions, while initially balanced, went too far and economic warnings were not heeded. The spending that followed drove up house prices and the cost of living for New Zealanders. Of the $60 billion spent, around half was unrelated to the pandemic. LINK: COVID-19 Inquiry released | National Party Iran - what the conflict means for you The conflict in the Middle East is concerning for many New Zealanders. We are already seeing the price of petrol increase,  but the long-term price implications for us will depend on how long it lasts. Cabinet has stood up a Ministerial group to closely monitor the economic impacts. New Zealand is well placed to ride the wave of this latest shock because we have spent more than two years focused on the basics, spending carefully and getting inflation under control, as Finance Minister Nicola Willis explains: Instagram Video LINK: Ministerial Advisory Group - fuel security I Beehive Truckometer shows economy is picking up speed ANZ’s latest Truckometer shows the strongest growth in three years for light traffic, which is a strong indication of momentum in the economy. Light traffic, such as couriers, cars and vans, reflects higher discretionary spending on outings and more movement from couriers and vans. The data bodes well for increased economic activity in the coming months. LINK: ANZ Truckometer | NZ economic indicator | ANZ Aussie, Aussie, Aussie - tourist numbers surge New Zealand’s tourism sector continued its outstanding growth path this week with Stats NZ’s international travel survey showing 15 thousand more visitors arriving in January 2026 compared to a year ago. Aussies led the way (up 10,700), followed by the UK (up 3,700). LINK: International travel: January 2026 | Stats NZ Removing barriers to competition in supermarkets Digital labels on foods are another step towards removing barriers to consumer choice and competition. Food retailers have told us labelling products can be a costly barrier to entry or expansion into the New Zealand market. The government has given the go ahead to a trial, which provides an opportunity to test innovative digital labelling technologies and allows more flexibility to potential new entrants LINK: Digital labelling trial I Beehive Chris Bishop National Campaign Chair",421
2026-03-12,National,"Ministerial group to oversee fuel security12 March, 2026Nicola Willis",https://www.national.org.nz/news/20260312-hon-nicola-willis-ministerial-group-to-oversee-fuel-security,"The Government’s newly established Ministerial Economic Security and Supply Chains Group met for the first time last night to discuss New Zealand’s situation and potential next steps on fuel security in response to the Middle East conflict. The group of senior ministers has been convened to provide strategic oversight and co-ordinated leadership to agencies to ensure a quick and effective response to any potential disruptions to petrol, diesel, and jet fuel supplies, as well as other key supply chains. The meeting brought together ministers responsible for energy, transport, trade, economic security and internal affairs, as well as well as agency chief executives. “This group has been established with the purpose of strengthening whole-of-government co-ordination and providing clear direction during this period of heightened risk resulting from the Middle East conflict,” Minister for Finance and Economic Growth Nicola Willis, says. “I have made the Government’s expectations to agencies very clear. This is a fast-moving situation and New Zealand needs to be prepared for all scenarios. Whether or not they come to pass, our economy depends on ministers having full, accurate facts in order to make significant decisions, if necessary. “Having said this, I want to emphasise that New Zealand remains in a healthy position. We are actively monitoring domestic and international fuel supply conditions and assessing any impacts on New Zealand’s energy security. “But the importance of fuel and the risk disruptions in supply can cause mean we need to be decisive, which is why we are are bringing together oversight of cross-agency planning and preparedness, ensuring government agencies and the fuel sector are aligned in our response options. “Our role as a ministerial group is to provide strategic direction during any potential disruptions, enabling swift, evidence-based decisions to protect essential services, support industry, and maintain public confidence.” As Associate Minister for Energy, Minister Shane Jones is responsible for fuel security. At last night’s meeting, ministers were briefed on a decision made to support the recommendation of the International Energy Agency (IEA) to release oil reserves. New Zealand is a member of the IEA, along with 31 other countries, and is obliged to contribute to this release of strategic reserve, which is intended to bring down the price of oil globally and stabilise the market. Members of the IEA are required to hold 90 days of oil stocks. New Zealand holds its stocks, in part, through oil tickets or contracts. “New Zealand’s contribution is equivalent to about six days’ fuel supply here. It can make that contribution through measures such as terminating its tickets to make the oil available to the market. “We have not yet determined how we will do this but the Government will ensure that the impact on Kiwis is minimised. We should not overlook the fact that we are making a small but significant contribution to prote",470
2026-03-12,National,"Further improvements to Pacific visitor visa settings12 March, 2026Erica Stanford",https://www.national.org.nz/news/20260312-hon-erica-stanford-further-improvements-to-pacific-visitor-visa,"Foreign Minister Winston Peters and Immigration Minister Erica Stanford have announced further changes to visitor visa settings for Pacific people, making it more affordable for Pacific visitors to travel to New Zealand. “From 1 June this year, the total cost of applying for a visitor visa for Pacific nationals will drop from $216 to $161, for a 12-month period, as part of New Zealand’s ongoing work to deepen Pacific connections,”Mr Peters says. “This is a practical update to visitor visa settings that reduces cost, supports easier travel and helps strengthen the relationships that matter most.” “These updates build on earlier improvements, such as longer visa durations – from one year to two years with multiple entries – along with reduced processing times, new escalation processes to support urgent travel, and the current visa‑free trial for Pacific travellers coming from Australia,” Ms Stanford says. “Together, these changes make it easier and cheaper for Pacific visitors to come to New Zealand, while ensuring the system remains clear, predictable and secure. The Government will review the impacts in a year’s time, before deciding what happens next.” Further details on eligibility and timing will be confirmed in the coming weeks. For more information, visit Immigration New Zealand’s website: www.immigration.govt.nz/about-us/news-centre/visitor-visa-fees-temporarily-reduced-for-pacific-nationals/",205
