key,species,genus,family,order,vernacularName,decimalLatitude,decimalLongitude,stateProvince,locality,year,month,day,individualCount,occurrenceStatus,datasetName,recordedBy,basisOfRecord
5938027353,Gallirallus australis,Gallirallus,Rallidae,Gruiformes,Weka,-41.08681,174.138115,Marlborough,,2026,1,2,,PRESENT,iNaturalist research-grade observations,neerajsingh12,HUMAN_OBSERVATION
5938027456,Rhipidura fuliginosa,Rhipidura,Rhipiduridae,Passeriformes,New Zealand Fantail,-43.230131,172.601338,Canterbury,,2026,1,3,,PRESENT,iNaturalist research-grade observations,Jennifer Gillette,HUMAN_OBSERVATION
5938027742,Tadorna variegata,Tadorna,Anatidae,Anseriformes,Paradise Shelduck,-43.222356,170.162842,West Coast,,2026,1,2,,PRESENT,iNaturalist research-grade observations,pauldespa,HUMAN_OBSERVATION
5938027833,Anthornis melanura,Anthornis,Meliphagidae,Passeriformes,Bellbird,-44.674571,167.924535,Southland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,Brendan Murtha,HUMAN_OBSERVATION
5938028404,Turdus merula,Turdus,Turdidae,Passeriformes,Blackbird,-36.862452,174.719306,Auckland,,2026,1,4,,PRESENT,iNaturalist research-grade observations,Jesse Saofia,HUMAN_OBSERVATION
5938028493,Rhipidura fuliginosa,Rhipidura,Rhipiduridae,Passeriformes,New Zealand Fantail,-36.602408,174.891388,Auckland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,kateboersma,HUMAN_OBSERVATION
5938029745,Rhipidura fuliginosa,Rhipidura,Rhipiduridae,Passeriformes,New Zealand Fantail,-40.151286,175.842863,Manawatu-Wanganui,,2026,1,1,,PRESENT,iNaturalist research-grade observations,Andrea Perez,HUMAN_OBSERVATION
5938030294,Petroica macrocephala,Petroica,Petroicidae,Passeriformes,New Zealand Tomtit,-44.720872,168.232973,Otago,,2026,1,1,,PRESENT,iNaturalist research-grade observations,Henry Hart,HUMAN_OBSERVATION
5938030971,Gerygone igata,Gerygone,Acanthizidae,Passeriformes,Gray Gerygone,-41.331825,174.823998,Wellington,,2026,1,4,,PRESENT,iNaturalist research-grade observations,Phoebe Zeller,HUMAN_OBSERVATION
5938032397,Tadorna variegata,Tadorna,Anatidae,Anseriformes,Paradise Shelduck,-36.8667,174.722717,Auckland,,2026,1,2,,PRESENT,iNaturalist research-grade observations,dmehlman,HUMAN_OBSERVATION
5938033010,Hemiphaga novaeseelandiae,Hemiphaga,Columbidae,Columbiformes,New Zealand Pigeon,-43.573,172.626381,Canterbury,,2026,1,3,,PRESENT,iNaturalist research-grade observations,Jon Sullivan,HUMAN_OBSERVATION
5938036203,Egretta novaehollandiae,Egretta,Ardeidae,Pelecaniformes,White-faced Heron,-36.821716,175.070302,Auckland,,2026,1,4,,PRESENT,iNaturalist research-grade observations,Crisa,HUMAN_OBSERVATION
5938037121,Phalacrocorax varius,Phalacrocorax,Phalacrocoracidae,Suliformes,Australian Pied Cormorant,-43.513826,172.726245,Canterbury,,2026,1,3,,PRESENT,iNaturalist research-grade observations,iancoull,HUMAN_OBSERVATION
5938040343,Nestor meridionalis,Nestor,Psittacidae,Psittaciformes,New Zealand Kaka,-41.304041,174.752353,Wellington,,2026,1,4,,PRESENT,iNaturalist research-grade observations,Richard Littauer,HUMAN_OBSERVATION
5938040399,Nestor meridionalis,Nestor,Psittacidae,Psittaciformes,New Zealand Kaka,-37.036258,174.972197,Auckland,,2026,1,5,,PRESENT,iNaturalist research-grade observations,chalikotheres,HUMAN_OBSERVATION
5938041250,Columba livia,Columba,Columbidae,Columbiformes,Colom roquer,-36.942107,174.786754,Auckland,,2026,1,2,,PRESENT,iNaturalist research-grade observations,Jesse Saofia,HUMAN_OBSERVATION
5938041541,Acridotheres tristis,Acridotheres,Sturnidae,Passeriformes,Bhat shalik,-36.805404,174.785004,Auckland,,2026,1,2,,PRESENT,iNaturalist research-grade observations,SWALLOW,HUMAN_OBSERVATION
5938041666,Emberiza citrinella,Emberiza,Emberizidae,Passeriformes,Eurasian Yellow Bunting,-44.670874,167.925336,Southland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,Brendan Murtha,HUMAN_OBSERVATION
5938043883,Haematopus finschi,Haematopus,Haematopodidae,Charadriiformes,South Island Oystercatcher,-43.293333,171.708333,Canterbury,,2026,1,2,,PRESENT,iNaturalist research-grade observations,Marley,HUMAN_OBSERVATION
5938044991,Porphyrio melanotus,Porphyrio,Rallidae,Gruiformes,Australasian Swamphen,-43.484742,172.698362,Canterbury,,2026,1,4,,PRESENT,iNaturalist research-grade observations,William Harland,HUMAN_OBSERVATION
5938045350,Porphyrio melanotus,Porphyrio,Rallidae,Gruiformes,Australasian Swamphen,-36.602139,174.815286,Auckland,,2026,1,4,,PRESENT,iNaturalist research-grade observations,Vish,HUMAN_OBSERVATION
5938047449,Petroica australis,Petroica,Petroicidae,Passeriformes,New Zealand Robin,-42.929444,171.559167,Canterbury,,2026,1,2,,PRESENT,iNaturalist research-grade observations,Marley,HUMAN_OBSERVATION
5938048123,Porphyrio melanotus,Porphyrio,Rallidae,Gruiformes,Australasian Swamphen,-36.943272,174.89366,Auckland,,2026,1,2,,PRESENT,iNaturalist research-grade observations,Wilhelm Joshua Tan,HUMAN_OBSERVATION
5938048340,Petroica australis,Petroica,Petroicidae,Passeriformes,New Zealand Robin,-46.919721,168.091796,Southland,,2026,1,4,,PRESENT,iNaturalist research-grade observations,Micah V,HUMAN_OBSERVATION
5938048383,Phalacrocorax varius,Phalacrocorax,Phalacrocoracidae,Suliformes,Australian Pied Cormorant,-36.789178,174.828338,Auckland,,2026,1,4,,PRESENT,iNaturalist research-grade observations,Shaun Lee,HUMAN_OBSERVATION
5938049859,Todiramphus sanctus,Todiramphus,Alcedinidae,Coraciiformes,Sacred Kingfisher,-36.8489,174.767778,Auckland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,anisiiaprokshina,HUMAN_OBSERVATION
5938050508,Petroica australis,Petroica,Petroicidae,Passeriformes,New Zealand Robin,-43.030722,171.630538,Canterbury,,2026,1,1,,PRESENT,iNaturalist research-grade observations,suejarvis,HUMAN_OBSERVATION
5938050774,Gallirallus australis,Gallirallus,Rallidae,Gruiformes,Weka,-44.815475,168.136428,Southland,,2026,1,1,,PRESENT,iNaturalist research-grade observations,zr0,HUMAN_OBSERVATION
5938052818,Turdus merula,Turdus,Turdidae,Passeriformes,Blackbird,-36.805607,174.784678,Auckland,,2026,1,1,,PRESENT,iNaturalist research-grade observations,SWALLOW,HUMAN_OBSERVATION
5938053063,Falco novaeseelandiae,Falco,Falconidae,Falconiformes,New Zealand Falcon,-41.283056,174.764016,Wellington,,2026,1,5,,PRESENT,iNaturalist research-grade observations,robert,HUMAN_OBSERVATION
5938053221,Gallirallus australis,Gallirallus,Rallidae,Gruiformes,Weka,-42.304959,172.289471,West Coast,,2026,1,2,,PRESENT,iNaturalist research-grade observations,davidanderson,HUMAN_OBSERVATION
5938054596,Aythya novaeseelandiae,Aythya,Anatidae,Anseriformes,New Zealand Scaup,-43.48626,172.69664,Canterbury,,2026,1,4,,PRESENT,iNaturalist research-grade observations,William Harland,HUMAN_OBSERVATION
5938054635,Thalassarche cauta,Thalassarche,Diomedeidae,Procellariiformes,Salvin's albatross,-46.893355,168.140819,Southland,,2026,1,5,,PRESENT,iNaturalist research-grade observations,Eric Cameron,HUMAN_OBSERVATION
5938055856,Egretta novaehollandiae,Egretta,Ardeidae,Pelecaniformes,White-faced Heron,-45.620963,170.645312,Otago,,2026,1,1,,PRESENT,iNaturalist research-grade observations,cwlonie6626,HUMAN_OBSERVATION
5938055882,Turdus philomelos,Turdus,Turdidae,Passeriformes,(drozd) śpiewak,-36.858402,174.76205,Auckland,,2026,1,1,,PRESENT,iNaturalist research-grade observations,greenbead,HUMAN_OBSERVATION
5938056108,Apteryx australis,Apteryx,Apterygidae,Apterygiformes,Brown Kiwi,-46.92857,168.131897,Southland,,2026,1,5,,PRESENT,iNaturalist research-grade observations,Connal E McLean,HUMAN_OBSERVATION
5938056737,Phasianus colchicus,Phasianus,Phasianidae,Galliformes,Common Pheasant,-37.843308,175.071192,Waikato,,2026,1,1,,PRESENT,iNaturalist research-grade observations,lwnrngr,HUMAN_OBSERVATION
