species,vernacularName,genus,family,order,sightingCount,earliestYear,latestYear,regions
Porphyrio melanotus,Australasian Swamphen,Porphyrio,Rallidae,Gruiformes,20,2026,2026,Auckland | Bay of Plenty | Canterbury | Marlborough | Nelson | Waikato | West Coast
Prosthemadera novaeseelandiae,Tui,Prosthemadera,Meliphagidae,Passeriformes,19,2026,2026,Auckland | Bay of Plenty | Marlborough | Nelson | Otago | Southland | Waikato | Wellington | West Coast
Anthornis melanura,Bellbird,Anthornis,Meliphagidae,Passeriformes,18,2026,2026,Auckland | Canterbury | Hawke's Bay | Otago | Southland | Wellington | West Coast
Turdus merula,Blackbird,Turdus,Turdidae,Passeriformes,16,2026,2026,Auckland | Nelson | Otago | Southland | Waikato | Wellington
Tadorna variegata,Paradise Shelduck,Tadorna,Anatidae,Anseriformes,15,2026,2026,Auckland | Canterbury | Hawke's Bay | Nelson | Otago | Southland | West Coast
Chroicocephalus novaehollandiae,Silver Gull,Chroicocephalus,Laridae,Charadriiformes,15,2026,2026,Auckland | Bay of Plenty | Canterbury | Hawke's Bay | Manawatu-Wanganui | Marlborough | Nelson | Otago | Wellington
Petroica australis,New Zealand Robin,Petroica,Petroicidae,Passeriformes,14,2026,2026,Auckland | Canterbury | Nelson | Otago | Southland | Waikato | Wellington | West Coast
Haematopus unicolor,Variable Oystercatcher,Haematopus,Haematopodidae,Charadriiformes,14,2026,2026,Auckland | Canterbury | Hawke's Bay | Nelson | Northland | Southland | Taranaki
Platalea regia,Royal Spoonbill,Platalea,Threskiornithidae,Pelecaniformes,13,2026,2026,Canterbury | Gisborne | Hawke's Bay | Marlborough | Otago | Wellington
Himantopus leucocephalus,Pied Stilt,Himantopus,Recurvirostridae,Charadriiformes,13,2026,2026,Auckland | Bay of Plenty | Canterbury | Hawke's Bay | Manawatu-Wanganui | Otago | Southland | Waikato
Hemiphaga novaeseelandiae,New Zealand Pigeon,Hemiphaga,Columbidae,Columbiformes,12,2026,2026,Auckland | Bay of Plenty | Canterbury | Otago | Southland | Wellington | West Coast
Gallirallus australis,Weka,Gallirallus,Rallidae,Gruiformes,11,2026,2026,Bay of Plenty | Marlborough | Nelson | Southland | West Coast
Rhipidura fuliginosa,New Zealand Fantail,Rhipidura,Rhipiduridae,Passeriformes,11,2026,2026,Auckland | Canterbury | Manawatu-Wanganui | Nelson | Southland | Waikato | Wellington | West Coast
Phalacrocorax varius,Australian Pied Cormorant,Phalacrocorax,Phalacrocoracidae,Suliformes,11,2026,2026,Auckland | Canterbury | Marlborough | Nelson | Northland | Otago | Waikato
Passer domesticus,Adar y To,Passer,Passeridae,Passeriformes,11,2026,2026,Auckland | Bay of Plenty | Canterbury
Acridotheres tristis,Bhat shalik,Acridotheres,Sturnidae,Passeriformes,10,2026,2026,Auckland | Hawke's Bay | Waikato
