maoriName,species,decimalLatitude,decimalLongitude,stateProvince,year,month,day
Kea,Nestor notabilis,-42.939424,171.561581,Canterbury,2026,1,3
Kea,Nestor notabilis,-44.770678,168.005695,Southland,2026,1,2
Kea,Nestor notabilis,-42.939444,171.561667,Canterbury,2026,1,2
Kea,Nestor notabilis,-44.721388,167.951118,Southland,2026,1,5
Kea,Nestor notabilis,-42.898913,171.52513,West Coast,2026,1,3
Kea,Nestor notabilis,-43.222187,170.164665,West Coast,2026,1,3
Kea,Nestor notabilis,-43.387262,170.182594,West Coast,2026,1,12
Kea,Nestor notabilis,-44.802635,167.77535,Southland,2026,1,12
Kea,Nestor notabilis,-43.424447,170.149945,West Coast,2026,1,12
Kea,Nestor notabilis,-43.220737,170.16385,West Coast,2026,1,1
Kea,Nestor notabilis,-45.026836,168.657045,Otago,2026,1,7
Kea,Nestor notabilis,-45.387574,167.612061,Southland,2026,1,15
Kea,Nestor notabilis,-43.42441,170.149943,West Coast,2026,1,12
Kea,Nestor notabilis,-42.939215,171.561408,Canterbury,2026,1,1
Kea,Nestor notabilis,-42.946281,171.564615,Canterbury,2026,1,12
Kea,Nestor notabilis,-42.895673,171.536358,West Coast,2026,1,12
Kea,Nestor notabilis,-44.759788,167.963775,Southland,2026,1,10
Kea,Nestor notabilis,-42.939155,171.561654,Canterbury,2026,1,22
Kea,Nestor notabilis,-42.941297,171.562977,Canterbury,2026,1,3
Kea,Nestor notabilis,-45.402177,167.751321,Southland,2026,1,22
Kea,Nestor notabilis,-42.939681,171.56189,Canterbury,2026,1,12
Kea,Nestor notabilis,-43.023749,171.599423,Canterbury,2026,1,5
Kea,Nestor notabilis,-42.937211,171.560587,Canterbury,2026,1,21
Kea,Nestor notabilis,-44.795301,167.779439,Southland,2026,1,12
Kea,Nestor notabilis,-43.222784,170.163572,West Coast,2026,1,8
Kea,Nestor notabilis,-43.713605,170.074397,Canterbury,2026,1,19
Kea,Nestor notabilis,-42.888036,171.556548,West Coast,2026,1,23
Kea,Nestor notabilis,-42.93692,171.560407,Canterbury,2026,1,21
Kea,Nestor notabilis,-44.004665,168.578501,West Coast,2026,1,6
Kea,Nestor notabilis,-44.759897,167.964068,Southland,2026,1,13
Kea,Nestor notabilis,-44.81523,168.119606,Southland,2026,1,14
Kea,Nestor notabilis,-45.382867,167.596572,Southland,2026,1,8
Kea,Nestor notabilis,-42.953762,171.568388,Canterbury,2026,1,19
Kea,Nestor notabilis,-42.888334,171.556727,West Coast,2026,1,24
Kea,Nestor notabilis,-44.824938,168.117889,Southland,2026,1,11
Kea,Nestor notabilis,-42.939234,171.561399,Canterbury,2026,1,19
Kea,Nestor notabilis,-44.761775,167.973244,Southland,2026,1,23
Kea,Nestor notabilis,-42.938033,171.561142,Canterbury,2026,1,21
Kea,Nestor notabilis,-42.939287,171.56195,Canterbury,2026,1,16
Kea,Nestor notabilis,-45.741634,167.380443,Southland,2026,1,16
Kea,Nestor notabilis,-44.765175,167.992167,Southland,2026,1,23
Kea,Nestor notabilis,-44.764787,167.995267,Southland,2026,1,6
Kea,Nestor notabilis,-43.387805,170.182878,West Coast,2026,1,15
Kea,Nestor notabilis,-44.779314,168.010111,Southland,2026,1,23
Kea,Nestor notabilis,-44.167548,168.418121,West Coast,2026,1,24
Kea,Nestor notabilis,-42.943158,171.536147,Canterbury,2026,1,19
Kea,Nestor notabilis,-43.220762,170.16385,West Coast,2026,1,1
Kea,Nestor notabilis,-44.759931,167.968715,Southland,2026,1,13
Kea,Nestor notabilis,-44.802492,167.764803,Southland,2026,1,4
Kea,Nestor notabilis,-42.942384,171.56328,Canterbury,2026,1,12
Kea,Nestor notabilis,-44.76854,168.002995,Southland,2026,1,5
Kea,Nestor notabilis,-43.221088,170.165267,West Coast,2026,1,1
Kea,Nestor notabilis,-44.765175,167.992167,Southland,2026,1,23
Kea,Nestor notabilis,-44.76458,167.995696,Southland,2026,1,9
Kea,Nestor notabilis,-43.221528,170.16342,West Coast,2026,1,4
Kea,Nestor notabilis,-44.801232,168.021463,Southland,2026,1,14
Kea,Nestor notabilis,-42.895742,171.543647,West Coast,2026,1,12
Kea,Nestor notabilis,-43.221528,170.16342,West Coast,2026,1,4
Kea,Nestor notabilis,-43.221528,170.16342,West Coast,2026,1,4
Kea,Nestor notabilis,-44.825237,168.117225,Southland,2026,1,2
Kea,Nestor notabilis,-44.726611,168.201179,Otago,2026,1,18
Kea,Nestor notabilis,-44.802458,167.764932,Southland,2026,1,4
Kea,Nestor notabilis,-42.945468,171.564819,Canterbury,2026,1,14
Kea,Nestor notabilis,-42.901303,171.557238,West Coast,2026,1,12
Kea,Nestor notabilis,-45.785534,167.400054,Southland,2026,1,8
Kea,Nestor notabilis,-44.821438,168.317822,Otago,2026,1,18
Kea,Nestor notabilis,-44.670277,167.933793,Southland,2026,1,14
Kea,Nestor notabilis,-42.020346,172.749866,Nelson,2026,1,24
Kea,Nestor notabilis,-42.939261,171.561526,Canterbury,2026,1,30
Kea,Nestor notabilis,-42.939147,171.561422,Canterbury,2026,1,9
Kea,Nestor notabilis,-42.941545,171.562897,Canterbury,2026,1,31
Kea,Nestor notabilis,-42.88826,171.556595,West Coast,2026,1,27
Kea,Nestor notabilis,-44.764655,167.997453,Southland,2026,1,30
Kea,Nestor notabilis,-44.809242,167.770227,Southland,2026,1,24
Kea,Nestor notabilis,-42.899554,171.558422,Canterbury,2026,1,2
Kea,Nestor notabilis,-42.938667,171.56134,Canterbury,2026,1,2
Kea,Nestor notabilis,-42.89933,171.554459,Canterbury,2026,1,2
Kea,Nestor notabilis,-42.888054,171.556381,West Coast,2026,1,20
Kea,Nestor notabilis,-42.938982,171.561618,Canterbury,2026,1,7
Kea,Nestor notabilis,-44.801159,168.02134,Southland,2026,1,12
Kea,Nestor notabilis,-42.887207,171.528397,West Coast,2026,1,5
Kea,Nestor notabilis,-42.942513,171.563263,Canterbury,2026,2,2
Kea,Nestor notabilis,-44.768312,168.002839,Southland,2026,2,1
Kea,Nestor notabilis,-44.768312,168.002839,Southland,2026,2,1
Kea,Nestor notabilis,-44.766955,168.002619,Southland,2026,2,1
Kea,Nestor notabilis,-42.939144,171.561422,Canterbury,2026,2,4
Kea,Nestor notabilis,-44.721608,167.950792,Southland,2026,2,9
Kea,Nestor notabilis,-44.76567,168.004832,Southland,2026,2,3
Kea,Nestor notabilis,-42.93929,171.561471,Canterbury,2026,2,4
Kea,Nestor notabilis,-42.943269,171.536036,Canterbury,2026,2,4
Kea,Nestor notabilis,-44.797481,167.777926,Southland,2026,2,3
Kea,Nestor notabilis,-43.387306,170.181663,West Coast,2026,2,7
Kea,Nestor notabilis,-43.386013,170.184325,West Coast,2026,2,5
Kea,Nestor notabilis,-44.8012,168.021341,Southland,2026,2,5
Kea,Nestor notabilis,-43.387225,170.182068,West Coast,2026,2,7
Kea,Nestor notabilis,-44.768543,168.00295,Southland,2026,2,3
Kea,Nestor notabilis,-42.896126,171.539215,Canterbury,2026,2,2
Kea,Nestor notabilis,-42.939122,171.56143,Canterbury,2026,2,16
Kea,Nestor notabilis,-42.902963,171.561362,West Coast,2026,2,10
Kea,Nestor notabilis,-42.93922,171.561478,Canterbury,2026,2,16
Kiwi,Apteryx mantelli,-39.454018,174.410614,Taranaki,2026,1,3
Kiwi,Apteryx mantelli,-35.621006,174.127358,Northland,2026,1,1
Kiwi,Apteryx mantelli,-35.620313,174.127105,Northland,2026,1,2
Kiwi,Apteryx mantelli,-39.101764,174.520753,Taranaki,2026,1,27
Kiwi,Apteryx mantelli,-39.305841,174.114974,Taranaki,2026,1,29
Kiwi,Apteryx mantelli,-39.149188,173.985484,Taranaki,2026,2,4
Kiwi,Apteryx mantelli,-36.36034,174.836107,Auckland,2026,2,16
Kiwi,Apteryx mantelli,-36.370882,174.846898,Auckland,2026,2,5
Kiwi,Apteryx mantelli,-39.454051,174.413844,Taranaki,2026,2,19
Kiwi,Apteryx mantelli,-36.372545,174.838897,Auckland,2025,1,2
Kiwi,Apteryx mantelli,-39.452979,174.41029,Taranaki,2025,1,13
Kiwi,Apteryx mantelli,-36.369787,174.819392,Auckland,2025,1,22
Kiwi,Apteryx mantelli,-39.664512,177.033368,Hawke's Bay,2025,1,1
Kiwi,Apteryx mantelli,-36.371597,174.821174,Auckland,2025,1,22
Kiwi,Apteryx mantelli,-36.291779,174.940206,Auckland,2025,2,8
Kiwi,Apteryx mantelli,-39.331731,175.501914,Manawatu-Wanganui,2025,2,16
Kiwi,Apteryx mantelli,-36.152344,174.641586,Auckland,2025,2,22
Kiwi,Apteryx mantelli,-36.151917,174.641114,Auckland,2025,2,23
Kiwi,Apteryx mantelli,-36.369422,174.819534,Auckland,2025,2,11
Kiwi,Apteryx mantelli,-35.280547,174.149461,Northland,2025,2,7
Kiwi,Apteryx mantelli,-41.328435,174.997181,Wellington,2025,2,19
Kiwi,Apteryx mantelli,-36.36803,174.829575,Auckland,2025,2,27
Kiwi,Apteryx mantelli,-35.303554,174.111654,Northland,2025,3,19
Kiwi,Apteryx mantelli,-36.507363,174.791182,Auckland,2025,3,19
Kiwi,Apteryx mantelli,-36.503987,174.790901,Auckland,2025,3,18
Kiwi,Apteryx mantelli,-36.506904,174.791553,Auckland,2025,3,19
Kiwi,Apteryx mantelli,-36.503235,174.792964,Auckland,2025,3,19
Kiwi,Apteryx mantelli,-35.816875,174.518403,Northland,2025,3,31
Kiwi,Apteryx mantelli,-38.05399,175.562056,Waikato,2025,4,3
Kiwi,Apteryx mantelli,-36.505471,174.792904,Auckland,2025,4,22
Kiwi,Apteryx mantelli,-36.505223,174.792284,Auckland,2025,4,24
Kiwi,Apteryx mantelli,-38.86129,176.89634,Hawke's Bay,2025,4,26
Kiwi,Apteryx mantelli,-38.902528,176.862025,Hawke's Bay,2025,4,23
Kiwi,Apteryx mantelli,-38.904911,176.842047,Hawke's Bay,2025,4,23
Kiwi,Apteryx mantelli,-36.369786,174.844547,Auckland,2025,4,19
Kiwi,Apteryx mantelli,-36.650491,175.470867,Waikato,2025,5,3
Kiwi,Apteryx mantelli,-35.246392,173.994334,Northland,2025,5,11
Kiwi,Apteryx mantelli,-36.631682,175.462463,Waikato,2025,5,5
Kiwi,Apteryx mantelli,-38.084098,176.287802,Bay of Plenty,2025,5,26
Kiwi,Apteryx mantelli,-39.2082,174.96922,Manawatu-Wanganui,2025,5,19
Kiwi,Apteryx mantelli,-38.0057,175.575653,Waikato,2025,5,25
Kiwi,Apteryx mantelli,-36.651304,175.46634,Waikato,2025,5,30
Kiwi,Apteryx mantelli,-36.371695,174.819724,Auckland,2025,6,2
Kiwi,Apteryx mantelli,-39.170586,174.061919,Taranaki,2025,7,7
Kiwi,Apteryx mantelli,-35.177281,174.14614,Northland,2025,7,19
Kiwi,Apteryx mantelli,-36.368661,174.856522,Auckland,2025,7,26
Kiwi,Apteryx mantelli,-39.202942,174.535872,Taranaki,2025,7,26
Kiwi,Apteryx mantelli,-41.277686,174.974406,Wellington,2025,7,14
