title,organisation,lat,lon,region
Queen Elizabeth Park,,-40.9596,174.9766,Wellington
Waimapihi Trapping Project,Ngā Kaimanaaki o Te Waimapihi,-41.2992,174.756,Wellington
Waikanae River Corridor,Friends of the Waikanae River,-40.8789,175.0357,Wellington
Whitireia Park,Whitireia Restoration Group,-41.1013,174.8483,Wellington
Whareroa Farm,Friends of Whareroa Farm,-40.978,174.9911,Wellington
Small mammal monitoring,Friends Of Baring Head,-41.4016,174.8777,Wellington
Lake Rotopounamu - Mt Pihanga Restoration Project,Project Tongariro,-39.0184,175.743,Unknown
Motukaraka Point Predator Control,"Rotary Club, Greater Wellington Regional Council",-41.0929,174.9012,Wellington
Makara Peak/KATCH,Makara Peak Supporters,-41.2898,174.7223,Wellington
Waikanae Estuary Scientific Reserve,Waikanae Estuary Care Group ,-40.8754,175.0044,Wellington
Otari RAMBO,Otari-Wilton Bush Trust,-41.2669,174.7518,Wellington
Glenfern Sanctuary,Ethos Environmental,-36.1573,175.3612,Unknown
WGCT_traps,Whareroa Guardians Community Trust,-40.9778,174.9955,Wellington
'Bring back the Robin',Tui Nature Reserve Wildlife Trust,-40.989,173.9185,Nelson Marlborough
Rangituhi Porirua,Mana Cycle Group,-41.1457,174.8171,Wellington
Uawanui a Ruamatua,School and COmmunity,-38.3787,178.3087,East Coast
Battle for the Banded Rail,Tasman Environmental Trust                Battle for the Banded Rail Project Group,-41.2901,173.1264,Nelson Marlborough
Crofton Downs Predator Free Community (Reserves),CDPFC,-41.2518,174.7554,Wellington
Mokau Forest Farm,,-38.6876,174.6382,Waikato
Tennyson Inlet Islands,Tennyson Inlet Islands Trust,-41.0588,173.7993,Nelson Marlborough
Trapping@VUW,,-41.2911,174.7689,Wellington
Predator Free Paekakariki,Predator Free Paekākāriki,-40.9833,174.9556,Wellington
Ngā Uruora - Kāpiti Project,Ngā Uruora - Kāpiti Project,-41.0032,174.9388,Wellington
Golden Bay beach patons to Onekaka,Onekaka Biodiversity Group,-40.767,172.7317,Nelson Marlborough
Aongatete Forest Project,Aongatete Forest Project,-37.6816,175.9207,Waikato
Pedator free Horoeka ,Horoeka Scenic Reserve,-41.1695,174.989,Wellington
Southern Houto Forest (Maungaru Range),Kaipara Forest Conservation Trust,-35.7792,173.9261,Northland
Whareora Landcare,Whareora Landcare Group,-35.7203,174.4,Northland
Ambury Regional Park,Auckland Council,-36.9485,174.7689,Auckland
Whatoro CPCA,Whatoro Community Pest Control Area,-35.7195,173.6892,Northland
Riverlands Landcare,Riverlands Landcare,-35.6335,174.4714,Northland
